Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
MANA,2021-01-22,0.1896682307,0.1459538668,0.1934110423,0.1326585951
MANA,2021-01-23,0.1779898392,0.1927423045,0.238310842,0.1734380906
MANA,2021-01-24,0.1683358632,0.1793089366,0.1822073373,0.1656634347
MANA,2021-01-25,0.1581126602,0.1702531526,0.1726001355,0.1557070078
MANA,2021-01-26,0.1550979676,0.1585324247,0.168620255,0.1499007214
MANA,2021-01-27,0.1554246595,0.1547969483,0.1590888535,0.1409495863
MANA,2021-01-28,0.1513773832,0.1552376886,0.1653384229,0.1505809155
MANA,2021-01-29,0.1542876898,0.1531409812,0.1613674384,0.150908486
MANA,2021-01-30,0.1548851452,0.153202533,0.1597496187,0.1499103907
MANA,2021-01-31,0.150174562,0.1551011128,0.1568015415,0.1479004378
MANA,2021-02-01,0.1535886739,0.1500128412,0.1590744961,0.1454938332
MANA,2021-02-02,0.1738284902,0.1539568156,0.1744964859,0.1538994386
MANA,2021-02-03,0.1708795642,0.1739057405,0.1852665643,0.1690233674
MANA,2021-02-04,0.1752195489,0.1729771654,0.1769837467,0.1656558247
MANA,2021-02-05,0.1939426745,0.1749758092,0.2481533493,0.1747615787
MANA,2021-02-06,0.25541219,0.1948733034,0.2830946092,0.1918499739
MANA,2021-02-07,0.23585766,0.2528914564,0.2747326694,0.2169821746
MANA,2021-02-08,0.2393116556,0.2343091726,0.2532554126,0.2293829014
MANA,2021-02-09,0.2483513876,0.2385628626,0.260836433,0.2317462241
MANA,2021-02-10,0.2501714949,0.2479008473,0.2570807748,0.2297257012
MANA,2021-02-11,0.2813482457,0.2501652497,0.2982257955,0.248793455
MANA,2021-02-12,0.3585225017,0.285728072,0.3770270215,0.2813632695
MANA,2021-02-13,0.3409635395,0.3501323269,0.3657722232,0.3008070937
MANA,2021-02-14,0.2818853956,0.3400602608,0.3534736809,0.2597116698
MANA,2021-02-15,0.3064805912,0.2853367234,0.3246017234,0.2784226766
MANA,2021-02-16,0.270447182,0.3041391984,0.3162733654,0.2655447704
MANA,2021-02-17,0.313392882,0.2731652853,0.3186819828,0.272340824
MANA,2021-02-18,0.2957115198,0.3165328264,0.3197073432,0.293187449
MANA,2021-02-19,0.3186825432,0.296543109,0.3587106799,0.2964112867
MANA,2021-02-20,0.3078430232,0.3208820313,0.3265872357,0.2951250676
MANA,2021-02-21,0.3081198757,0.3081372256,0.3099417028,0.3004138735
