Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,1.180000,1.220000,1.060000,1.110000,1.110000,303000
2020-02-19,1.190000,1.190000,1.010000,1.070000,1.070000,224400
2020-02-20,1.040000,1.050000,1.000000,1.040000,1.040000,101500
2020-02-21,1.010000,1.050000,1.000000,1.030000,1.030000,86600
2020-02-24,1.010000,1.040000,0.960000,0.980000,0.980000,150400
2020-02-25,0.980000,1.000000,0.950000,0.950000,0.950000,48900
2020-02-26,0.950000,0.990000,0.950000,0.960000,0.960000,113700
2020-02-27,0.960000,0.960000,0.800000,0.930000,0.930000,197500
2020-02-28,0.850000,0.900000,0.830000,0.860000,0.860000,141600
2020-03-02,0.870000,0.920000,0.860000,0.880000,0.880000,59800
2020-03-03,0.910000,0.920000,0.850000,0.900000,0.900000,81200
2020-03-04,0.900000,0.910000,0.860000,0.910000,0.910000,27800
2020-03-05,0.950000,0.950000,0.890000,0.910000,0.910000,59000
2020-03-06,0.920000,0.930000,0.870000,0.890000,0.890000,82000
2020-03-09,0.780000,0.780000,0.630000,0.720000,0.720000,161500
2020-03-10,0.730000,0.750000,0.720000,0.740000,0.740000,52700
2020-03-11,0.740000,0.780000,0.700000,0.720000,0.720000,60600
2020-03-12,0.690000,0.690000,0.520000,0.540000,0.540000,162500
2020-03-13,0.620000,0.620000,0.530000,0.600000,0.600000,89000
2020-03-16,0.350000,0.550000,0.350000,0.490000,0.490000,136000
2020-03-17,0.510000,0.520000,0.480000,0.480000,0.480000,73700
2020-03-18,0.490000,0.520000,0.380000,0.400000,0.400000,49200
2020-03-19,0.400000,0.480000,0.400000,0.480000,0.480000,85800
2020-03-20,0.460000,0.590000,0.440000,0.520000,0.520000,115900
2020-03-23,0.530000,0.560000,0.450000,0.450000,0.450000,97300
2020-03-24,0.480000,0.540000,0.450000,0.520000,0.520000,136400
2020-03-25,0.530000,0.530000,0.490000,0.500000,0.500000,88400
2020-03-26,0.510000,0.540000,0.500000,0.520000,0.520000,89600
2020-03-27,0.510000,0.540000,0.490000,0.500000,0.500000,125400
2020-03-30,0.530000,0.530000,0.460000,0.490000,0.490000,85100
2020-03-31,0.500000,0.500000,0.400000,0.450000,0.450000,99200
2020-04-01,0.460000,0.480000,0.390000,0.400000,0.400000,85200
2020-04-02,0.410000,0.460000,0.410000,0.450000,0.450000,208100
2020-04-03,0.460000,0.470000,0.440000,0.460000,0.460000,39700
2020-04-06,0.500000,0.520000,0.450000,0.500000,0.500000,914900
2020-04-07,0.510000,0.570000,0.470000,0.500000,0.500000,1044100
2020-04-08,0.470000,0.500000,0.430000,0.480000,0.480000,227100
