Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
MANA,2021-01-25,0.1619712361,0.1719794635,0.1803110151,0.1598351231
MANA,2021-01-26,0.162875799,0.1633649286,0.1712329546,0.1499007214
MANA,2021-01-27,0.1512260028,0.1664944095,0.1672991841,0.1416838793
MANA,2021-01-28,0.1620513965,0.1472555043,0.1653384229,0.1409495863
MANA,2021-01-29,0.1544451786,0.1585549958,0.1614539624,0.150908486
MANA,2021-01-30,0.1584232036,0.1541834292,0.1610859996,0.1499103907
MANA,2021-01-31,0.1538610594,0.1570670385,0.1582868556,0.1479004378
MANA,2021-02-01,0.1547395681,0.1550611321,0.1551844778,0.1454938332
MANA,2021-02-02,0.1688162684,0.1565319499,0.169564904,0.1519397133
MANA,2021-02-03,0.1761777117,0.168138879,0.1852665643,0.1641975546
MANA,2021-02-04,0.1730009261,0.1765982745,0.1777302758,0.1656558247
MANA,2021-02-05,0.2193393831,0.1724584612,0.219666117,0.1702588528
MANA,2021-02-06,0.2378180976,0.2174582352,0.273208229,0.188678212
MANA,2021-02-07,0.2282394706,0.2351560309,0.2830946092,0.2169821746
MANA,2021-02-08,0.2374425546,0.2374437262,0.2532554126,0.2264005398
MANA,2021-02-09,0.2451907349,0.2373333362,0.2460289258,0.2317462241
MANA,2021-02-10,0.2455376663,0.244269069,0.260836433,0.2297257012
MANA,2021-02-11,0.2860535382,0.2515006677,0.2949773564,0.2445561522
MANA,2021-02-12,0.305491571,0.2819908043,0.3147913074,0.2759803063
MANA,2021-02-13,0.3414741245,0.3027888173,0.3770270215,0.3008070937
MANA,2021-02-14,0.3205622374,0.3467661394,0.3586664334,0.2971979653
MANA,2021-02-15,0.3004163126,0.3124167865,0.3249030133,0.2597116698
MANA,2021-02-16,0.2824186188,0.2972218943,0.3162733654,0.2655447704
MANA,2021-02-17,0.3030310658,0.2904443876,0.3102830563,0.2704016016
MANA,2021-02-18,0.3036982829,0.2999267716,0.3197073432,0.293187449
MANA,2021-02-19,0.3216806686,0.3127302306,0.3587106799,0.2945165789
MANA,2021-02-20,0.2964276337,0.3280417329,0.3294085809,0.2951250676
